title,url,content_p_tags,content_ol_tags,content_ul_tags
"GPay, PhonePe gain on Paytm’s travails",https://www.deccanchronicle.com/business/corporate-news/gpay-phonepe-gain-on-paytms-travails-884440,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
MG ZS EV Excite Pro Launched at Rs 19.98 Lakh,https://www.deccanchronicle.com/business/autos/mg-zs-ev-excite-pro-launched-at-rs-1998-lakh-884370,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Hyderabadis Buying Costly Properties,https://www.deccanchronicle.com/business/hyderabadis-buying-costly-properties-884397,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Women Fund Managers have Produced High Returns but are Drastically...,https://www.deccanchronicle.com/business/women-fund-managers-have-produced-high-returns-but-are-drastically-under-represented-884394,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
India’s GDP to Grow at 6.8% in FY25 Says Crisil,https://www.deccanchronicle.com/business/indias-gdp-to-grow-at-68-in-fy25-says-crisil-884389,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Give Customers Choice to Select Credit Card Network: RBI,https://www.deccanchronicle.com/business/give-customers-choice-to-select-credit-card-network-rbi-884359,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
"FLY91 Receives Air Operator Certificate, Prepares for Commercial...",https://www.deccanchronicle.com/business/corporate-news/fly91-receives-air-operator-certificate-prepares-for-commercial-operations-884350,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Only 6% of Retail Banks Have a Plan to Drive AI-driven Transformation,https://www.deccanchronicle.com/business/only-6-of-retail-banks-have-a-plan-to-drive-ai-driven-transformation-884315,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
"RBI Bars JM Financial from Financing Against Shares, Debentures",https://www.deccanchronicle.com/business/rbi-bars-jm-financial-from-financing-against-shares-debentures-884308,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Chinese BYD Seal Launched in India at Rs 41 Lakh,https://www.deccanchronicle.com/business/autos/chinese-byd-seal-launched-in-india-at-rs-41-lakh-884270,"['Chennai: In what could be an end to the funding winter, Indian start-ups mopped up nearly $900 million across 121 deals in February, which was higher than January 2024 as well as February 2023.', 'February registered a modest jump in funding to $900 million from $732.7 million in January. Even on a year-on-year basis, February 2024 surpassed the February 2023 funding mark of $845 million, as per the data of Kredible. Unlike January, February saw three-digit funding as Shadowfax raised $100 million in a new round.', 'E-commerce start-ups re-captured the top position this month in terms of segment-wise number of deals with 27 deals. This was followed by healthtech with 12 deals, fintech 10, and SaaS 10 deals.', 'Bengaluru retained the top spot with 45 deals worth around $482.6 million, or close to 54 per cent of the total funding raised during February. Delhi-NCR and Mumbai-based startups were the next with 26 and 25 deals, respectively,', 'Early stage venture capital firm Blume Venture and venture debt firm Stride Ventures have emerged as most active investors in February with 5 investments each. Fireside Ventures was next on the list with four deals followed by 9Unicorns, Antler India, IAN, Omidyar, and others.', 'February witnessed 12 mergers and acquisitions deals. In comparison, January saw nine mergers and acquisitions deals. Like January, the layoffs spree continued in February as more than 350 employees were let go of across six start-ups.', 'Meanwhile, Indian start-ups also saw 10 top-level exits. Flipkart alone saw three departures including senior vice presidents. Paytm Payments Bank also saw the exits of two independent directors and the surprising exit of Vijay Shekhar Sharma.', 'In February the funding situation was seen improving as over a year of relatively tough market conditions have ensured a higher focus on resilience in start-ups. A booming stock market has also meant that amidst all the gloom of a shrinking job market, investible funds do exist for the right idea, and newer segments like Proptech that are riding the real estate boom are set to make a splash with a few big deals sooner than later. END']",[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
